[E 260803 11:09:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '760433', 'interval': 'ONE_DAY', 'fromdate': '2025-12-23 09:15', 'todate': '2026-02-06 15:30'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260803 11:10:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '759084', 'interval': 'ONE_DAY', 'fromdate': '2025-09-17 09:15', 'todate': '2025-11-01 15:30'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260803 11:11:14 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '757683', 'interval': 'ONE_DAY', 'fromdate': '2025-07-07 09:15', 'todate': '2025-08-21 15:30'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260803 11:12:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '29727', 'interval': 'ONE_DAY', 'fromdate': '2025-02-24 09:15', 'todate': '2025-04-10 15:30'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260803 11:12:13 smartConnect:246] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Error: Too many requests. URL: https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData, Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB'}, Request: {'exchange': 'NSE', 'symboltoken': '29658', 'interval': 'ONE_DAY', 'fromdate': '2025-02-19 09:15', 'todate': '2025-04-05 15:30'}, Response: {'message': 'Too many requests', 'errorcode': 'AB1021', 'status': False, 'data': None}
[E 260803 17:31:06 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6IkFBQ0gzNjA4ODIiLCJyb2xlcyI6MCwidXNlcnR5cGUiOiJVU0VSIiwidG9rZW4iOiJleUpoYkdjaU9pSlNVekkxTmlJc0luUjVjQ0k2SWtwWFZDSjkuZXlKMWMyVnlYM1I1Y0dVaU9pSmpiR2xsYm5RaUxDSjBiMnRsYmw5MGVYQmxJam9pZEhKaFpHVmZZV05qWlhOelgzUnZhMlZ1SWl3aVoyMWZhV1FpT2pNc0luTnZkWEpqWlNJNklqTWlMQ0prWlhacFkyVmZhV1FpT2lJeU5HRTVNekV4TXkwMk1XWTNMVE5pTm1ZdE9ERXlOUzFpTlRJek5EY3laVGhoTVdFaUxDSnJhV1FpT2lKMGNtRmtaVjlyWlhsZmRqSWlMQ0p2Ylc1bGJXRnVZV2RsY21sa0lqb3pMQ0p3Y205a2RXTjBjeUk2ZXlKa1pXMWhkQ0k2ZXlKemRHRjBkWE1pT2lKaFkzUnBkbVVpZlN3aWJXWWlPbnNpYzNSaGRIVnpJam9pWVdOMGFYWmxJbjE5TENKcGMzTWlPaUowY21Ga1pWOXNiMmRwYmw5elpYSjJhV05sSWl3aWMzVmlJam9pUVVGRFNETTJNRGc0TWlJc0ltVjRjQ0k2TVRjNE5UZzBORE14T0N3aWJtSm1Jam94TnpnMU56VTNOek00TENKcFlYUWlPakUzT0RVM05UYzNNemdzSW1wMGFTSTZJakE1TjJRM05EVmhMVGt5TVRJdE5HWXlNaTFoWTJaa0xXUTNOVFprTWprNFpXWmlZeUlzSWxSdmEyVnVJam9pSW4wLmRJQXpyenRiTkpaOWpfdTNNUXFoNFpVSVozU1VudnFtZDZrOFlZSVNDTUxhUnlqd0VhN2xKNkRVdlVCSFBOb3lmaEFhNl91UU54ejNMLWZKRGo5Y1RHNzNlWUNhYVQ5eGJvS2xLYmhKeXZUbzNGRnZpS0REcTA3bTZfdHBjLVlvZ1FaQ2JmVGo2NHVlc2ZGd2dyRHVzeVI0a2dqQV9RQmpLXzdrMUZrZHpxUSIsIkFQSS1LRVkiOiJ6UmNlVGV6QyIsImlhdCI6MTc4NTc1NzkxOCwiZXhwIjoxNzg1NzgxODAwfQ.e0ZImpy26SLoyUhwF-jnHWJDQj2JwDlvNPai7KGQG__A_uje0UZRHrMyl5W-d2oAykW2g8OS54gTpXnZT9wSng'}, Request: {'exchange': 'NSE', 'symboltoken': '15282', 'interval': 'ONE_DAY', 'fromdate': '2025-07-03 09:15', 'todate': '2026-08-03 15:30'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/historical/v1/getCandleData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x11616c310>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
[E 260803 17:31:06 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6IkFBQ0gzNjA4ODIiLCJyb2xlcyI6MCwidXNlcnR5cGUiOiJVU0VSIiwidG9rZW4iOiJleUpoYkdjaU9pSlNVekkxTmlJc0luUjVjQ0k2SWtwWFZDSjkuZXlKMWMyVnlYM1I1Y0dVaU9pSmpiR2xsYm5RaUxDSjBiMnRsYmw5MGVYQmxJam9pZEhKaFpHVmZZV05qWlhOelgzUnZhMlZ1SWl3aVoyMWZhV1FpT2pNc0luTnZkWEpqWlNJNklqTWlMQ0prWlhacFkyVmZhV1FpT2lJeU5HRTVNekV4TXkwMk1XWTNMVE5pTm1ZdE9ERXlOUzFpTlRJek5EY3laVGhoTVdFaUxDSnJhV1FpT2lKMGNtRmtaVjlyWlhsZmRqSWlMQ0p2Ylc1bGJXRnVZV2RsY21sa0lqb3pMQ0p3Y205a2RXTjBjeUk2ZXlKa1pXMWhkQ0k2ZXlKemRHRjBkWE1pT2lKaFkzUnBkbVVpZlN3aWJXWWlPbnNpYzNSaGRIVnpJam9pWVdOMGFYWmxJbjE5TENKcGMzTWlPaUowY21Ga1pWOXNiMmRwYmw5elpYSjJhV05sSWl3aWMzVmlJam9pUVVGRFNETTJNRGc0TWlJc0ltVjRjQ0k2TVRjNE5UZzBORE14T0N3aWJtSm1Jam94TnpnMU56VTNOek00TENKcFlYUWlPakUzT0RVM05UYzNNemdzSW1wMGFTSTZJakE1TjJRM05EVmhMVGt5TVRJdE5HWXlNaTFoWTJaa0xXUTNOVFprTWprNFpXWmlZeUlzSWxSdmEyVnVJam9pSW4wLmRJQXpyenRiTkpaOWpfdTNNUXFoNFpVSVozU1VudnFtZDZrOFlZSVNDTUxhUnlqd0VhN2xKNkRVdlVCSFBOb3lmaEFhNl91UU54ejNMLWZKRGo5Y1RHNzNlWUNhYVQ5eGJvS2xLYmhKeXZUbzNGRnZpS0REcTA3bTZfdHBjLVlvZ1FaQ2JmVGo2NHVlc2ZGd2dyRHVzeVI0a2dqQV9RQmpLXzdrMUZrZHpxUSIsIkFQSS1LRVkiOiJ6UmNlVGV6QyIsImlhdCI6MTc4NTc1NzkxOCwiZXhwIjoxNzg1NzgxODAwfQ.e0ZImpy26SLoyUhwF-jnHWJDQj2JwDlvNPai7KGQG__A_uje0UZRHrMyl5W-d2oAykW2g8OS54gTpXnZT9wSng'}, Request: {'exchange': 'NSE', 'symboltoken': '2481', 'interval': 'ONE_DAY', 'fromdate': '2025-07-03 09:15', 'todate': '2026-08-03 15:30'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/historical/v1/getCandleData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x1164a6bd0>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
[E 260803 17:31:07 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6IkFBQ0gzNjA4ODIiLCJyb2xlcyI6MCwidXNlcnR5cGUiOiJVU0VSIiwidG9rZW4iOiJleUpoYkdjaU9pSlNVekkxTmlJc0luUjVjQ0k2SWtwWFZDSjkuZXlKMWMyVnlYM1I1Y0dVaU9pSmpiR2xsYm5RaUxDSjBiMnRsYmw5MGVYQmxJam9pZEhKaFpHVmZZV05qWlhOelgzUnZhMlZ1SWl3aVoyMWZhV1FpT2pNc0luTnZkWEpqWlNJNklqTWlMQ0prWlhacFkyVmZhV1FpT2lJeU5HRTVNekV4TXkwMk1XWTNMVE5pTm1ZdE9ERXlOUzFpTlRJek5EY3laVGhoTVdFaUxDSnJhV1FpT2lKMGNtRmtaVjlyWlhsZmRqSWlMQ0p2Ylc1bGJXRnVZV2RsY21sa0lqb3pMQ0p3Y205a2RXTjBjeUk2ZXlKa1pXMWhkQ0k2ZXlKemRHRjBkWE1pT2lKaFkzUnBkbVVpZlN3aWJXWWlPbnNpYzNSaGRIVnpJam9pWVdOMGFYWmxJbjE5TENKcGMzTWlPaUowY21Ga1pWOXNiMmRwYmw5elpYSjJhV05sSWl3aWMzVmlJam9pUVVGRFNETTJNRGc0TWlJc0ltVjRjQ0k2TVRjNE5UZzBORE14T0N3aWJtSm1Jam94TnpnMU56VTNOek00TENKcFlYUWlPakUzT0RVM05UYzNNemdzSW1wMGFTSTZJakE1TjJRM05EVmhMVGt5TVRJdE5HWXlNaTFoWTJaa0xXUTNOVFprTWprNFpXWmlZeUlzSWxSdmEyVnVJam9pSW4wLmRJQXpyenRiTkpaOWpfdTNNUXFoNFpVSVozU1VudnFtZDZrOFlZSVNDTUxhUnlqd0VhN2xKNkRVdlVCSFBOb3lmaEFhNl91UU54ejNMLWZKRGo5Y1RHNzNlWUNhYVQ5eGJvS2xLYmhKeXZUbzNGRnZpS0REcTA3bTZfdHBjLVlvZ1FaQ2JmVGo2NHVlc2ZGd2dyRHVzeVI0a2dqQV9RQmpLXzdrMUZrZHpxUSIsIkFQSS1LRVkiOiJ6UmNlVGV6QyIsImlhdCI6MTc4NTc1NzkxOCwiZXhwIjoxNzg1NzgxODAwfQ.e0ZImpy26SLoyUhwF-jnHWJDQj2JwDlvNPai7KGQG__A_uje0UZRHrMyl5W-d2oAykW2g8OS54gTpXnZT9wSng'}, Request: {'exchange': 'NSE', 'symboltoken': '25496', 'interval': 'ONE_DAY', 'fromdate': '2025-07-03 09:15', 'todate': '2026-08-03 15:30'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/historical/v1/getCandleData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x11637bb50>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
[E 260803 17:31:07 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6IkFBQ0gzNjA4ODIiLCJyb2xlcyI6MCwidXNlcnR5cGUiOiJVU0VSIiwidG9rZW4iOiJleUpoYkdjaU9pSlNVekkxTmlJc0luUjVjQ0k2SWtwWFZDSjkuZXlKMWMyVnlYM1I1Y0dVaU9pSmpiR2xsYm5RaUxDSjBiMnRsYmw5MGVYQmxJam9pZEhKaFpHVmZZV05qWlhOelgzUnZhMlZ1SWl3aVoyMWZhV1FpT2pNc0luTnZkWEpqWlNJNklqTWlMQ0prWlhacFkyVmZhV1FpT2lJeU5HRTVNekV4TXkwMk1XWTNMVE5pTm1ZdE9ERXlOUzFpTlRJek5EY3laVGhoTVdFaUxDSnJhV1FpT2lKMGNtRmtaVjlyWlhsZmRqSWlMQ0p2Ylc1bGJXRnVZV2RsY21sa0lqb3pMQ0p3Y205a2RXTjBjeUk2ZXlKa1pXMWhkQ0k2ZXlKemRHRjBkWE1pT2lKaFkzUnBkbVVpZlN3aWJXWWlPbnNpYzNSaGRIVnpJam9pWVdOMGFYWmxJbjE5TENKcGMzTWlPaUowY21Ga1pWOXNiMmRwYmw5elpYSjJhV05sSWl3aWMzVmlJam9pUVVGRFNETTJNRGc0TWlJc0ltVjRjQ0k2TVRjNE5UZzBORE14T0N3aWJtSm1Jam94TnpnMU56VTNOek00TENKcFlYUWlPakUzT0RVM05UYzNNemdzSW1wMGFTSTZJakE1TjJRM05EVmhMVGt5TVRJdE5HWXlNaTFoWTJaa0xXUTNOVFprTWprNFpXWmlZeUlzSWxSdmEyVnVJam9pSW4wLmRJQXpyenRiTkpaOWpfdTNNUXFoNFpVSVozU1VudnFtZDZrOFlZSVNDTUxhUnlqd0VhN2xKNkRVdlVCSFBOb3lmaEFhNl91UU54ejNMLWZKRGo5Y1RHNzNlWUNhYVQ5eGJvS2xLYmhKeXZUbzNGRnZpS0REcTA3bTZfdHBjLVlvZ1FaQ2JmVGo2NHVlc2ZGd2dyRHVzeVI0a2dqQV9RQmpLXzdrMUZrZHpxUSIsIkFQSS1LRVkiOiJ6UmNlVGV6QyIsImlhdCI6MTc4NTc1NzkxOCwiZXhwIjoxNzg1NzgxODAwfQ.e0ZImpy26SLoyUhwF-jnHWJDQj2JwDlvNPai7KGQG__A_uje0UZRHrMyl5W-d2oAykW2g8OS54gTpXnZT9wSng'}, Request: {'exchange': 'NSE', 'symboltoken': '29224', 'interval': 'ONE_DAY', 'fromdate': '2025-07-03 09:15', 'todate': '2026-08-03 15:30'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/historical/v1/getCandleData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x1165c3d90>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
[E 260803 17:31:14 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6IkFBQ0gzNjA4ODIiLCJyb2xlcyI6MCwidXNlcnR5cGUiOiJVU0VSIiwidG9rZW4iOiJleUpoYkdjaU9pSlNVekkxTmlJc0luUjVjQ0k2SWtwWFZDSjkuZXlKMWMyVnlYM1I1Y0dVaU9pSmpiR2xsYm5RaUxDSjBiMnRsYmw5MGVYQmxJam9pZEhKaFpHVmZZV05qWlhOelgzUnZhMlZ1SWl3aVoyMWZhV1FpT2pNc0luTnZkWEpqWlNJNklqTWlMQ0prWlhacFkyVmZhV1FpT2lJeU5HRTVNekV4TXkwMk1XWTNMVE5pTm1ZdE9ERXlOUzFpTlRJek5EY3laVGhoTVdFaUxDSnJhV1FpT2lKMGNtRmtaVjlyWlhsZmRqSWlMQ0p2Ylc1bGJXRnVZV2RsY21sa0lqb3pMQ0p3Y205a2RXTjBjeUk2ZXlKa1pXMWhkQ0k2ZXlKemRHRjBkWE1pT2lKaFkzUnBkbVVpZlN3aWJXWWlPbnNpYzNSaGRIVnpJam9pWVdOMGFYWmxJbjE5TENKcGMzTWlPaUowY21Ga1pWOXNiMmRwYmw5elpYSjJhV05sSWl3aWMzVmlJam9pUVVGRFNETTJNRGc0TWlJc0ltVjRjQ0k2TVRjNE5UZzBORE14T0N3aWJtSm1Jam94TnpnMU56VTNOek00TENKcFlYUWlPakUzT0RVM05UYzNNemdzSW1wMGFTSTZJakE1TjJRM05EVmhMVGt5TVRJdE5HWXlNaTFoWTJaa0xXUTNOVFprTWprNFpXWmlZeUlzSWxSdmEyVnVJam9pSW4wLmRJQXpyenRiTkpaOWpfdTNNUXFoNFpVSVozU1VudnFtZDZrOFlZSVNDTUxhUnlqd0VhN2xKNkRVdlVCSFBOb3lmaEFhNl91UU54ejNMLWZKRGo5Y1RHNzNlWUNhYVQ5eGJvS2xLYmhKeXZUbzNGRnZpS0REcTA3bTZfdHBjLVlvZ1FaQ2JmVGo2NHVlc2ZGd2dyRHVzeVI0a2dqQV9RQmpLXzdrMUZrZHpxUSIsIkFQSS1LRVkiOiJ6UmNlVGV6QyIsImlhdCI6MTc4NTc1NzkxOCwiZXhwIjoxNzg1NzgxODAwfQ.e0ZImpy26SLoyUhwF-jnHWJDQj2JwDlvNPai7KGQG__A_uje0UZRHrMyl5W-d2oAykW2g8OS54gTpXnZT9wSng'}, Request: {'exchange': 'NSE', 'symboltoken': '15282', 'interval': 'ONE_DAY', 'fromdate': '2025-07-03 09:15', 'todate': '2026-08-03 15:30'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/historical/v1/getCandleData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x1165e1d10>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
[E 260803 17:31:14 smartConnect:221] Error occurred while making a POST request to https://apiconnect.angelone.in/rest/secure/angelbroking/historical/v1/getCandleData. Headers: {'Content-type': 'application/json', 'X-ClientLocalIP': '127.0.0.1', 'X-ClientPublicIP': '106.193.147.98', 'X-MACAddress': 'ce:00:7b:8c:75:77', 'Accept': 'application/json', 'X-PrivateKey': 'zRceTezC', 'X-UserType': 'USER', 'X-SourceID': 'WEB', 'Authorization': 'Bearer eyJhbGciOiJIUzUxMiJ9.eyJ1c2VybmFtZSI6IkFBQ0gzNjA4ODIiLCJyb2xlcyI6MCwidXNlcnR5cGUiOiJVU0VSIiwidG9rZW4iOiJleUpoYkdjaU9pSlNVekkxTmlJc0luUjVjQ0k2SWtwWFZDSjkuZXlKMWMyVnlYM1I1Y0dVaU9pSmpiR2xsYm5RaUxDSjBiMnRsYmw5MGVYQmxJam9pZEhKaFpHVmZZV05qWlhOelgzUnZhMlZ1SWl3aVoyMWZhV1FpT2pNc0luTnZkWEpqWlNJNklqTWlMQ0prWlhacFkyVmZhV1FpT2lJeU5HRTVNekV4TXkwMk1XWTNMVE5pTm1ZdE9ERXlOUzFpTlRJek5EY3laVGhoTVdFaUxDSnJhV1FpT2lKMGNtRmtaVjlyWlhsZmRqSWlMQ0p2Ylc1bGJXRnVZV2RsY21sa0lqb3pMQ0p3Y205a2RXTjBjeUk2ZXlKa1pXMWhkQ0k2ZXlKemRHRjBkWE1pT2lKaFkzUnBkbVVpZlN3aWJXWWlPbnNpYzNSaGRIVnpJam9pWVdOMGFYWmxJbjE5TENKcGMzTWlPaUowY21Ga1pWOXNiMmRwYmw5elpYSjJhV05sSWl3aWMzVmlJam9pUVVGRFNETTJNRGc0TWlJc0ltVjRjQ0k2TVRjNE5UZzBORE14T0N3aWJtSm1Jam94TnpnMU56VTNOek00TENKcFlYUWlPakUzT0RVM05UYzNNemdzSW1wMGFTSTZJakE1TjJRM05EVmhMVGt5TVRJdE5HWXlNaTFoWTJaa0xXUTNOVFprTWprNFpXWmlZeUlzSWxSdmEyVnVJam9pSW4wLmRJQXpyenRiTkpaOWpfdTNNUXFoNFpVSVozU1VudnFtZDZrOFlZSVNDTUxhUnlqd0VhN2xKNkRVdlVCSFBOb3lmaEFhNl91UU54ejNMLWZKRGo5Y1RHNzNlWUNhYVQ5eGJvS2xLYmhKeXZUbzNGRnZpS0REcTA3bTZfdHBjLVlvZ1FaQ2JmVGo2NHVlc2ZGd2dyRHVzeVI0a2dqQV9RQmpLXzdrMUZrZHpxUSIsIkFQSS1LRVkiOiJ6UmNlVGV6QyIsImlhdCI6MTc4NTc1NzkxOCwiZXhwIjoxNzg1NzgxODAwfQ.e0ZImpy26SLoyUhwF-jnHWJDQj2JwDlvNPai7KGQG__A_uje0UZRHrMyl5W-d2oAykW2g8OS54gTpXnZT9wSng'}, Request: {'exchange': 'NSE', 'symboltoken': '25496', 'interval': 'ONE_DAY', 'fromdate': '2025-07-03 09:15', 'todate': '2026-08-03 15:30'}, Response: HTTPSConnectionPool(host='apiconnect.angelone.in', port=443): Max retries exceeded with url: /rest/secure/angelbroking/historical/v1/getCandleData (Caused by ConnectTimeoutError(<HTTPSConnection(host='apiconnect.angelone.in', port=443) at 0x1165cd210>, 'Connection to apiconnect.angelone.in timed out. (connect timeout=7)'))
